名前,ふりがな,アドレス,性別,誕生日,都道府県,携帯,キャリア,カレーの食べ方
"板倉, 希",いたくら のぞみ,itakura_nozomi@example.com,女,2021/3/9,長野県,080-7380- 531,ドコモ,左ルー・せき止め派
"堀江
美佐子",ほりえ みさこ,horie_misako@example.com,女,2021/2/2,長野県,090-1449-9594,ドコモ,ぶっかけ・せき止め派
"平山 ""杏",ひらやま あん,hirayama_ann@example.com,女,2021/4/24,宮崎県,090-3354-4238,ドコモ,ぶっかけ・混ぜ混ぜ派
山中 憲史,やまなか のりひと,yamanaka_norihito@example.com,男,2020/9/21,愛知県,080-9425-5040,ソフトバンク,ぶっかけ・せき止め派
東 充則,ひがし みつのり,higashi_mitsunori@example.com,男,2021/5/26,千葉県,080-4129-2808,ドコモ,左ルー・ナン派
邑野 裕次郎,むらの ゆうじろう,murano_yuujirou@example.com,男,2021/6/17,山梨県,090-7771-2723,au,奥ルー・せき止め派
小柳 みゆき,こやなぎ みゆき,koyanagi_miyuki@example.com,女,2021/3/29,長野県,090-2471-2663,ソフトバンク,左ルー・ナン派
出口 耕司,でぐち こうじ,deguchi_kouji@example.com,男,2021/3/13,宮崎県,080-5309-3134,ドコモ,手前ルー・ルー攻め派
菅沼 みゆき,すがぬま みゆき,suganuma_miyuki@example.com,女,2021/4/17,長野県,090-4041-8650,ドコモ,右ルー・混ぜ混ぜ派
恩田 光洋,おんだ みつひろ,onnda_mitsuhiro@example.com,男,2021/3/28,青森県,080-4984-4900,ドコモ,ぶっかけ・せき止め派
宇多田 美幸,うただ みゆき,utada_miyuki@example.com,女,2020/8/2,東京都,090-4849-6328,au,手前ルー・別口派
吉川 きみまろ,きっかわ きみまろ,kikkawa_kimimaro@example.com,男,2020/8/25,愛知県,090-2329-6965,ドコモ,別盛り・せき止め派
江口 一代,えぐち かずよ,eguchi_kazuyo@example.com,女,2020/8/21,大阪府,090- 202-4907,au,ぶっかけ・ルー攻め派
中井 豊,なかい ゆたか,nakai_yutaka@example.com,男,2021/3/23,埼玉県,080-7674-8453,ツーカー,ぶっかけ・せき止め派
山崎 六郎,やまざき ろくろう,yamazaki_rokurou@example.com,男,2021/3/29,栃木県,080-5678-5939,au,左ルー・せき止め派
清田 惇,きよた あつし,kiyota_atsushi@example.com,男,2020/12/25,広島県,090-1936-3765,au,右ルー・ナン派
滝口 博明,たきぐち ひろあき,takiguchi_hiroaki@example.com,男,2020/9/2,京都府,080-3404-9043,ドコモ,左ルー・混ぜ混ぜ派
池内 法子,いけうち のりこ,ikeuchi_noriko@example.com,女,2021/6/21,千葉県,080-2933-4345,ドコモ,左ルー・せき止め派
小沢 美希,おざわ みき,ozawa_miki@example.com,女,2021/6/30,東京都,080-6550-9366,ドコモ,手前ルー・せき止め派
対馬 優,つしま ゆう,tsushima_yuu@example.com,女,2020/10/31,宮崎県,080-6815-3704,au,ぶっかけ・別口派
井上 結子,いのうえ ゆうこ,inoue_yuuko@example.com,女,2021/5/23,広島県,090-3463-8533,ソフトバンク,ぶっかけ・ルー攻め派
藤本 あや子,ふじもと あやこ,fujimoto_ayako@example.com,女,2020/9/27,千葉県,090-5089-8197,ソフトバンク,ぶっかけ・ルー攻め派
渡辺 なつみ,わたなべ なつみ,watanabe_natsumi@example.com,女,2021/2/17,東京都,090-5968-9557,ソフトバンク,左ルー・別口派
武藤 宏行,むとう ひろゆき,mutou_hiroyuki@example.com,男,2021/6/20,東京都,080-8712-8620,ソフトバンク,右ルー・混ぜ混ぜ派
小関 一恵,こぜき かづえ,kozeki_kadue@example.com,女,2020/9/11,滋賀県,080- 192-8432,au,右ルー・ナン派
市川 友香,いちかわ ともか,ichikawa_tomoka@example.com,女,2021/2/1,香川県,090-8042-1644,ドコモ,左ルー・せき止め派
前原 功補,まえはら こうすけ,maehara_kousuke@example.com,男,2021/1/8,新潟県,090-1981-3236,ドコモ,別盛り・せき止め派
福沢 有海,ふくざわ あみ,fukuzawa_ami@example.com,女,2020/9/12,東京都,090- 957-2686,ドコモ,ぶっかけ・ルー攻め派
関根 誠治,せきね せいじ,sekine_seiji@example.com,男,2020/9/7,青森県,080- 111-5668,ドコモ,左ルー・ナン派
結城 光良,ゆうき てるよし,yuuki_teruyoshi@example.com,男,2020/7/28,北海道,080-7015-1180,au,ぶっかけ・せき止め派
日比野 一哉,ひびの かずや,hibino_kazuya@example.com,男,2021/1/30,青森県,090- 473-6055,ソフトバンク,左ルー・ナン派
堀北 美帆,ほりきた みほ,horikita_miho@example.com,女,2021/6/27,東京都,080-5188-5740,ドコモ,左ルー・混ぜ混ぜ派
石原 碧海,いしはら おうが,ishihara_ouga@example.com,男,2021/2/20,石川県,080-1828-4917,ドコモ,奥ルー・ルー攻め派
川井 恭子,かわい きょうこ,kawai_kyouko@example.com,女,2021/3/26,埼玉県,080- 114-5782,ドコモ,左ルー・別口派
瀬尾 薫,せお かおる,seo_kaoru@example.com,女,2021/4/11,神奈川県,080-8339-3096,ドコモ,ぶっかけ・ルー攻め派
福本 洋介,ふくもと ようすけ,fukumoto_yousuke@example.com,男,2021/2/1,徳島県,080-6540-1606,ソフトバンク,ぶっかけ・ルー攻め派
若山 一徳,わかやま いっとく,wakayama_ittoku@example.com,男,2021/2/13,愛知県,090- 646-4772,au,手前ルー・ルー攻め派
酒井 菊生,さかい きくお,sakai_kikuo@example.com,男,2020/12/27,神奈川県,080-1047-7002,ドコモ,左ルー・別口派
寺尾 真悠子,てらお まゆこ,terao_mayuko@example.com,女,2021/3/15,千葉県,080-5842-7871,ソフトバンク,左ルー・ルー攻め派
津田 了,つだ りょう,tsuda_ryou@example.com,男,2021/1/4,新潟県,080-8259-6189,au,右ルー・せき止め派
井川 ジローラモ,いがわ じろーらも,igawa_girolamo@example.com,男,2021/1/2,宮城県,090-1460-6129,ドコモ,ぶっかけ・混ぜ混ぜ派
笹原 未來,ささはら みらい,sasahara_mirai@example.com,男,2021/6/10,北海道,090-6104-5044,au,左ルー・別口派
米田 さやか,よねだ さやか,yoneda_sayaka@example.com,女,2020/11/4,三重県,090-5748-6390,ドコモ,左ルー・ルー攻め派
下村 育子,しもむら いくこ,shimomura_ikuko@example.com,女,2020/10/28,京都府,080-3919-6075,ドコモ,奥ルー・せき止め派
赤木 華子,あかぎ はなこ,akagi_hanako@example.com,女,2021/5/2,東京都,090-4685-7357,ドコモ,ぶっかけ・せき止め派
木戸 麗奈,きど れな,kido_rena@example.com,女,2020/11/14,大阪府,080-5369-6054,ドコモ,左ルー・せき止め派
小日向 啓介,こひなた けいすけ,kohinata_keisuke@example.com,男,2021/4/28,東京都,080-5342-8040,ドコモ,右ルー・せき止め派
城田 千佳子,しろた ちかこ,shirota_chikako@example.com,女,2021/1/31,千葉県,080-3856-2117,ドコモ,ぶっかけ・せき止め派
久保田 長利,くぼた ながとし,kubota_nagatoshi@example.com,男,2020/8/30,兵庫県,090-8048-3801,ソフトバンク,奥ルー・せき止め派
児島 ちえみ,こじま ちえみ,kojima_chiemi@example.com,女,2020/8/11,埼玉県,090-2781-6569,ドコモ,ぶっかけ・ルー攻め派
