名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,都道府県,携帯,キャリア,カレーの食べ方
"森口, 仁",もりぐち じん,moriguchi_jin@example.com,男,62,1958/12/20,既婚,新潟県,090-4838-3537,au,ぶっかけ・混ぜ混ぜ派
"永井
涼子",ながい りょうこ,nagai_ryouko@example.com,女,80,1941/1/26,既婚,京都府,090-9926-2680,ドコモ,左ルー・別口派
"丹羽 ""悟志""",たんば さとし,tannba_satoshi@example.com,男,21,2000/3/1,未婚,静岡県,080-  36- 715,ドコモ,左ルー・混ぜ混ぜ派
浅田 慢太郎,あさだ まんたろう,asada_mantarou@example.com,男,22,1998/8/12,既婚,広島県,090-2351-9609,au,左ルー・せき止め派
半田 メイサ,はんだ めいさ,hannda_meisa@example.com,女,43,1977/12/10,未婚,山口県,090-9450-9372,au,ぶっかけ・別口派
上野 憲一,うえの けんいち,ueno_kenichi@example.com,男,32,1988/12/22,未婚,東京都,080-7705-9225,au,ぶっかけ・せき止め派
大熊 和香,おおくま わか,ookuma_waka@example.com,女,38,1983/6/14,既婚,静岡県,090- 131-2290,ドコモ,手前ルー・せき止め派
五大 綾,ごだい あや,godai_aya@example.com,女,68,1952/9/4,既婚,大阪府,090-5087-8074,au,左ルー・別口派
深井 洋介,ふかい ようすけ,fukai_yousuke@example.com,男,74,1947/5/18,既婚,神奈川県,080-1708-4498,ドコモ,左ルー・せき止め派
小栗 幸平,おぐり こうへい,oguri_kouhei@example.com,男,68,1953/2/24,既婚,滋賀県,090-6676-9664,ソフトバンク,左ルー・ルー攻め派
浅沼 綾女,あさぬま あやめ,asanuma_ayame@example.com,女,79,1942/7/18,既婚,宮城県,080-4335- 111,ドコモ,左ルー・ルー攻め派
渡辺 真一,わたなべ しんいち,watanabe_shinichi@example.com,男,29,1992/4/7,未婚,鹿児島県,090-2614-4751,ドコモ,ぶっかけ・せき止め派
川口 光良,かわぐち てるよし,kawaguchi_teruyoshi@example.com,男,67,1953/8/15,既婚,千葉県,090-1111-2123,ソフトバンク,右ルー・ルー攻め派
奥田 くるみ,おくだ くるみ,okuda_kurumi@example.com,女,57,1964/4/11,未婚,千葉県,080- 736-7775,ソフトバンク,右ルー・せき止め派
仲村 誠一,なかむら せいいち,nakamura_seiichi@example.com,男,53,1967/9/10,既婚,神奈川県,090-5198-6778,ドコモ,ぶっかけ・ルー攻め派
有村 浩介,ありむら こうすけ,arimura_kousuke@example.com,男,60,1961/1/17,既婚,兵庫県,090- 350-7020,au,左ルー・ナン派
生瀬 六郎,なませ ろくろう,namase_rokurou@example.com,男,30,1991/4/5,既婚,愛知県,090-4834-2030,au,左ルー・ルー攻め派
西浦 龍吉,にしうら りゅうきち,nishiura_ryuukichi@example.com,男,77,1943/9/4,既婚,兵庫県,080-9209-7847,ドコモ,左ルー・せき止め派
パンツェッタ 和之,ぱんつぇった かずゆき,panzetta_kazuyuki@example.com,男,23,1997/11/6,未婚,新潟県,090-3900-3159,au,左ルー・混ぜ混ぜ派
